id,name,owner,status,layout_id,created_time,start_date,end_date
2376502000003640439,Registros treinamentos - HM Diagnósticos,Giovani,Aberto,,2025-05-28T02:14:24.403Z,2025-05-26,2025-05-30
2376502000003627002,1121 - Clinica Imagem - NR/AP (SEM OA),Giovani,Em Andamento,,2025-05-27T03:10:45.104Z,2025-05-26,2025-10-27
2376502000003602607,1123 - RW Diagnósticos por Imagem Ltda - AP/NR (Sem OA),willian.anjos,Em Andamento,,2025-05-26T20:50:22.585Z,2025-05-26,2026-03-19
2376502000003570255,0907-4 - PR MD Rio Pardo,Giovani,Aberto,,2025-05-22T21:52:23.014Z,2023-11-10,2024-04-11
2376502000003569201,1112 - Hospital Ernesto Dornelles - AP (Sem OA),willian.anjos,Em Andamento,,2025-05-22T20:37:50.729Z,2025-05-22,2025-09-08
2376502000003549073,1119 - Policlínica Vida Paraíba - AP,Giovani,Aberto,,2025-05-21T21:38:36.498Z,2025-05-20,2025-10-28
2376502000003539455,1067 - INSTITUTO DE ANGIOLOGIA E CARDIOLOGIA DE GOIÂNIA LTDA - AP (SEM OA),Giovani,Em Andamento,,2025-05-21T01:53:17.146Z,2025-01-31,2025-09-08
2376502000003459595,1120 - Diagnósticos Via Imagem - NR/AP (SEM OA),Giovani,Aberto,,2025-05-19T19:45:13.965Z,2025-05-16,2026-02-02
2376502000003432165,1110 - TELERRADIOLOGIA NÚCLEO DIAGNOSTICOS LTDA - AP (SEM OA),Giovani,Em Andamento,,2025-05-15T21:27:57.074Z,2025-04-15,
2376502000003432039,1114 - Instituto de Soluções Integradas Municipais (SIM) - NR/AP (SEM OA),Giovani,Aberto,,2025-05-15T20:49:39.286Z,2025-05-14,2026-01-05
2376502000003330185,1115 - AKC Diagnósticos- NR/AP (SEM OA),Giovani,Aberto,,2025-05-09T20:14:52.019Z,2025-05-06,2026-01-06
2376502000003330007,1106 - Clínica Inova Jacarei - NR/AP (SEM OA),Giovani,Em Andamento,,2025-05-09T19:43:05.162Z,2025-04-29,2025-10-24
2376502000003107045,1111 - Associação Hospitalar Roque Gonzales - AP - (Sem OA),willian.anjos,Em Andamento,,2025-04-24T22:03:49.072Z,2025-04-24,2025-09-08
2376502000002786156,1098 - Gama Imagem - AP (SEM OA),Giovani,Aberto,,2025-04-02T19:21:45.825Z,2025-04-01,2025-09-30
2376502000002763533,1091 - Pro Imagem Diagnóstico - NR/AP (SEM OA),Giovani,Em Andamento,,2025-04-01T20:00:48.330Z,2025-04-01,2025-12-22
2376502000002763377,1097 - Clinica Gemina - Londrina - NR/AP (SEM OA),Giovani,Em Andamento,,2025-04-01T19:44:05.504Z,2025-04-01,2025-09-10
2376502000002763003,1103 - Centro Integrado de Endoscopia Digestiva - NR/AP (SEM OA),Giovani,Aberto,,2025-04-01T19:29:36.023Z,2025-03-31,2026-01-26
2376502000002749419,1096 - Unidade de Ultrassonografia de Rôndonia (SEM OA),Giovani,Em Andamento,,2025-04-01T01:00:44.415Z,2025-03-27,2025-09-29
2376502000002732570,1099 - Examina - NR/AP (SEM OA),Giovani,Aberto,,2025-03-31T19:34:33.750Z,2025-03-24,2025-12-22
2376502000002579265,1082 - Magnus Imagens Médicas - Alfenas - AP - (Sem OA),willian.anjos,Operação Assistida,,2025-03-21T01:05:45.074Z,2025-03-20,2025-11-04
2376502000002579077,1092 - Clinica de Imagenologia Neuroscan - NR/AP - (Sem OA),willian.anjos,Operação Assistida,,2025-03-20T20:51:50.912Z,2025-03-20,2026-02-03
2376502000002568011,1093 - DIS Diagnóstico por Imagem - AP (SEM OA),Giovani,Em Andamento,,2025-03-20T18:40:12.342Z,2025-03-19,2025-10-30
2376502000002326783,1084 - AMA Diagnóstico - NR/AP (SEM OA),Giovani,Em Andamento,,2025-03-07T02:48:48.528Z,2025-02-25,2026-01-02
2376502000002159327,1076 - Hospital Ortopédico de Goiânia LTDA - AP - (Sem OA),willian.anjos,Em Andamento,,2025-02-24T21:13:23.123Z,2025-02-24,2025-11-25
2376502000001979679,1053 - CardioDiagnóstico - NR/AP,Giovani,Em Andamento,,2025-02-09T22:09:33.183Z,2024-11-18,2025-10-08
2376502000001701819,1075 - CLINUS - Clinica de Imagem Ltda - AP/NR,willian.anjos,Em Andamento,,2025-01-23T01:20:13.673Z,2025-01-22,2025-10-15
2376502000001684361,1054 - Hosp. Regional de Santa Maria - AP,Giovani,Em Andamento,,2025-01-18T01:19:16.373Z,2025-01-17,2025-04-16
2376502000001593107,Complexo Hospitalar Astrogildo de Azevedo - AP,Giovani,Em Andamento,,2025-01-06T13:11:56.261Z,2024-11-29,2025-10-28
2376502000001249141,Hugolino Andrade - NR,Giovani,Pendência,,2024-12-06T20:42:45.444Z,2023-05-17,2023-12-07
2376502000000469131,1034 - Centro Clínico Amparo - AP,willian.anjos,Aguardando o Cliente,,2024-11-13T11:37:53.839Z,2024-10-02,
2376502000000436301,1043 - Corpscan Serviços Médicos - NR/AP,willian.anjos,Operação Assistida,,2024-11-13T09:10:31.472Z,2024-10-04,
2376502000000351049,Clinica Dr. Edson Coltro - NR/AP,Giovani,Em Andamento,,2024-11-12T20:25:44.032Z,2024-06-20,2025-05-27
2376502000000269443,1033 - C.D.C Nuclear - NR/AP,willian.anjos,Em Andamento,,2024-11-12T02:24:05.633Z,2024-10-31,
2376502000000213310,0969-PR Instituto José da Luz - NR/AP,Giovani,Em Andamento,,2024-11-09T01:56:04.096Z,2024-02-29,2025-08-26
